"company_code;plant_code;supplier_code;supplier_plant;part_code;part_name;line_dc;date_scan_dc;npk_dc;line_ma;date_scan_ma;npk_ma;line_delivery;date_scan_delivery;npk_delivery;cust_part_number","","","","","","","","","","","","","","",""
"80J7","6","5011","2","10031418C24A122","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-24","001357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A123","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-24","001357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A125","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-24","001357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A126","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A127","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-24","001357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A129","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","001540","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A133","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-24","001357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A134","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-24","001357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A136","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A135","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A143","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A145","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A144","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A147","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A149","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A151","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A152","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A153","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A154","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A156","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A157","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A158","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A159","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A160","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A161","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A162","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A164","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A165","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A167","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A168","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A169","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A170","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A175","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A176","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A178","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A180","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A181","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A182","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A183","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A185","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A186","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A187","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-26","001540","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A188","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A189","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A190","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A192","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A194","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-26","001540","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A197","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A198","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A201","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-26","001540","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A202","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A203","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A207","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-26","001540","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A209","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-26","001540","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A211","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-26","001540","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A212","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A213","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-26","001540","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A214","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-26","001540","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A216","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A218","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-26","001540","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A220","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-26","001540","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A222","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-26","001540","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A224","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-26","001540","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A225","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-26","001540","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A227","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","101357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A229","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-26","001357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A230","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-26","001540","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A231","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-26","001540","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A236","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-26","001540","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A237","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-26","001540","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A239","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-26","001540","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A240","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-26","001540","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A241","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-26","001540","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A242","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-26","001540","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A243","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-26","001540","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A244","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-26","001540","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A245","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-26","001540","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A248","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-26","001540","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A249","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-26","001357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A250","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-26","001540","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A251","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-26","001357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A252","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-26","001357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A253","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-26","001357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A257","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-26","001357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A260","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-26","001357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A262","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-26","001357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A266","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-26","001357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A267","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-26","001357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A268","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-26","001357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A269","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-26","001357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A270","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-26","001357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A271","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-26","001357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A272","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-26","001357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A273","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-26","001357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A274","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-26","001357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A275","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-26","001357","Cycle 3","2018-12-27","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A278","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-26","001357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A279","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-26","001357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A280","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-26","001357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A282","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-26","001357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A287","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-26","001357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A288","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-26","001357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A290","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-26","001357","Cycle 2","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A292","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-26","001357","Cycle 2","2018-12-26","123","12101-OYO80"
